,Year,COUNTY,OSHPD_ID,Facility Name,Licensed Bed Classification,License Bed Designation,Licensed Bed Day,Discharges,Census Day,Intra Hospital Transfer from Critical Care,available beds,County labels,Facility Label,Beds Required('Predicted')
2,2005-01-01,Alameda,106010735.0,ALAMEDA HOSPITAL,General Acute Care,Intensive Care,2920.0,170.0,1369.0,326,2047.0,57,9,2046.999999999999
16,2005-01-01,Alameda,106010739.0,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,General Acute Care,Intensive Care,5840.0,486.0,6923.0,1394,797.0,57,12,796.999999999998
30,2005-01-01,Alameda,106010776.0,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,General Acute Care,Intensive Care,8395.0,731.0,6372.0,1583,4337.0,57,90,4337.0
44,2005-01-01,Alameda,106010782.0,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,57,794,-1.8189894035458565e-12
58,2005-01-01,Alameda,106010805.0,EDEN MEDICAL CENTER,General Acute Care,Intensive Care,5119.0,372.0,3775.0,637,2353.0,57,188,2353.0
72,2005-01-01,Alameda,106010811.0,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,57,5,-1.8189894035458565e-12
86,2005-01-01,Alameda,106010844.0,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,57,13,-1.8189894035458565e-12
100,2005-01-01,Alameda,106010846.0,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,General Acute Care,Intensive Care,7300.0,257.0,5218.0,1150,3489.0,57,6,3489.0
114,2005-01-01,Alameda,106010856.0,KAISER FND HOSP - OAKLAND CAMPUS,General Acute Care,Intensive Care,5840.0,195.0,5635.0,985,1385.0,57,303,1384.9999999999989
128,2005-01-01,Alameda,106010858.0,KAISER FND HOSP - HAYWARD,General Acute Care,Intensive Care,5840.0,303.0,5136.0,1169,2176.0,57,298,2175.999999999999
143,2005-01-01,Alameda,106010869.0,LAUREL GROVE HOSPITAL,General Acute Care,Intensive Care,1825.0,0.0,0.0,0,1825.0,57,422,1824.9999999999993
157,2005-01-01,Alameda,106010887.0,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,General Acute Care,Intensive Care,3650.0,32.0,830.0,127,2979.0,57,397,2979.0
171,2005-01-01,Alameda,106010937.0,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,General Acute Care,Intensive Care,8760.0,299.0,7560.0,1824,3323.0,57,14,3322.999999999999
185,2005-01-01,Alameda,106010967.0,ST. ROSE HOSPITAL,General Acute Care,Intensive Care,3285.0,217.0,3135.0,1115,1482.0,57,740,1481.9999999999984
199,2005-01-01,Alameda,106010983.0,VALLEY MEMORIAL HOSPITAL - LIVERMORE,General Acute Care,Intensive Care,1095.0,0.0,0.0,0,1095.0,57,831,1094.9999999999989
214,2005-01-01,Alameda,106010987.0,WASHINGTON HOSPITAL - FREMONT,General Acute Care,Intensive Care,4380.0,302.0,3777.0,1325,2230.0,57,849,2229.9999999999986
228,2005-01-01,Alameda,106013619.0,SAN LEANDRO HOSPITAL,General Acute Care,Intensive Care,1825.0,185.0,2340.0,0,-330.0,57,631,-330.0000000000017
242,2005-01-01,Alameda,106013626.0,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,57,15,-1.8189894035458565e-12
256,2005-01-01,Alameda,106013687.0,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,57,518,-1.8189894035458565e-12
270,2005-01-01,Alameda,106014034.0,FREMONT HOSPITAL,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,57,219,-1.8189894035458565e-12
285,2005-01-01,Alameda,106014050.0,VALLEYCARE MEDICAL CENTER,General Acute Care,Intensive Care,4745.0,82.0,638.0,329,4518.0,57,834,4518.000000000001
299,2005-01-01,Alameda,106014132.0,KAISER FND HOSP - FREMONT,General Acute Care,Intensive Care,3650.0,189.0,2715.0,806,1930.0,57,294,1929.9999999999989
313,2005-01-01,Alameda,106014207.0,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,57,777,-1.8189894035458565e-12
318,2005-01-01,Butte,106040828.0,ENLOE MEDICAL CENTER - COHASSET CAMPUS,General Acute Care,Intensive Care,3285.0,0.0,0.0,0,3285.0,59,201,3285.0000000000005
328,2005-01-01,Amador,106034002.0,SUTTER AMADOR HOSPITAL,General Acute Care,Intensive Care,2190.0,298.0,1290.0,0,1198.0,58,749,1197.9999999999989
342,2005-01-01,Butte,106040802.0,BIGGS GRIDLEY MEMORIAL HOSPITAL,General Acute Care,Intensive Care,730.0,145.0,928.0,126,73.0,59,57,72.99999999999827
368,2005-01-01,Butte,106040875.0,FEATHER RIVER HOSPITAL,General Acute Care,Intensive Care,4380.0,249.0,2621.0,500,2508.0,59,210,2507.9999999999995
382,2005-01-01,Butte,106040937.0,OROVILLE HOSPITAL,General Acute Care,Intensive Care,3650.0,323.0,3074.0,1020,1919.0,59,544,1918.9999999999986
395,2005-01-01,Butte,106040962.0,ENLOE MEDICAL CENTER- ESPLANADE CAMPUS,General Acute Care,Intensive Care,6570.0,163.0,4919.0,1215,3029.0,59,203,3029.0
409,2005-01-01,Butte,106044006.0,BUTTE COUNTY PHF,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,59,60,-1.8189894035458565e-12
423,2005-01-01,Butte,106044011.0,ENLOE REHABILITATION CENTER,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,59,204,-1.8189894035458565e-12
437,2005-01-01,Calaveras,106050932.0,MARK TWAIN ST. JOSEPHS HOSPITAL,General Acute Care,Intensive Care,2920.0,165.0,921.0,0,2164.0,60,471,2163.9999999999995
451,2005-01-01,Colusa,106060870.0,COLUSA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,39.0,192.0,65,2102.0,61,118,2101.9999999999995
466,2005-01-01,Contra Costa,106070904.0,DOCTORS MEDICAL CENTER - SAN PABLO CAMPUS,General Acute Care,Intensive Care,13870.0,435.0,5006.0,552,9851.0,62,171,9851.000000000005
480,2005-01-01,Contra Costa,106070924.0,CONTRA COSTA REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2920.0,157.0,1634.0,258,1701.0,62,139,1700.999999999999
494,2005-01-01,Contra Costa,106070934.0,SUTTER DELTA MEDICAL CENTER,General Acute Care,Intensive Care,4380.0,271.0,2562.0,535,2624.0,62,754,2623.999999999999
508,2005-01-01,Contra Costa,106070988.0,JOHN MUIR MEDICAL CENTER,General Acute Care,Intensive Care,8760.0,314.0,8095.0,1439,2418.0,62,283,2417.999999999999
522,2005-01-01,Contra Costa,106070990.0,KAISER FND HOSP - WALNUT CREEK,General Acute Care,Intensive Care,8760.0,1420.0,10430.0,1750,1500.0,62,330,1499.999999999998
536,2005-01-01,Contra Costa,106071010.0,KAISER FND HOSPITAL-MARTINEZ/WALNUT CREEK,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,62,337,-1.8189894035458565e-12
550,2005-01-01,Contra Costa,106071018.0,MT. DIABLO  MEDICAL CENTER,General Acute Care,Intensive Care,5475.0,208.0,4162.0,1393,2914.0,62,519,2913.999999999999
564,2005-01-01,Contra Costa,106073449.0,DOCTORS MEDICAL CENTER - PINOLE CAMPUS,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,62,169,-1.8189894035458565e-12
577,2005-01-01,Contra Costa,106074011.0,SAN RAMON REGIONAL MEDICAL CENTER SOUTH BUILDING,General Acute Care,Intensive Care,0.0,0.0,0.0,0,0.0,62,637,-1.8189894035458565e-12
591,2005-01-01,Contra Costa,106074017.0,SAN RAMON REGIONAL MEDICAL CENTER,General Acute Care,Intensive Care,2190.0,317.0,2407.0,531,631.0,62,635,630.9999999999982
